NDC Description,NDC,Old NADAC Per Unit,New NADAC Per Unit,Classification for Rate Setting,Percent Change,Primary Reason,Start Date,End Date,Effective Date
QUINAPRIL 20 MG TABLET,43547041209,0.11117,0.11028,G,-0.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEVOTHYROXINE 137 MCG TABLET,69238183707,0.30848,0.32510,G,5.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROXYZINE HCL 25 MG TABLET,68084025411,0.07488,0.07783,G,3.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GNP ESOMEPRAZOLE MAG DR 20 MG,46122064804,0.33683,0.33770,G,0.26,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LINEZOLID 600 MG TABLET,31722074930,2.19680,2.01421,G,-8.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROXYCHLOROQUINE 200 MG TAB,69238154401,0.28633,0.28455,G,-0.62,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HALOPERIDOL LAC 2 MG/ML CONC,00121058115,1.24467,1.24080,G,-0.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BENZONATATE 100 MG CAPSULE,42806071405,0.09262,0.09103,G,-1.72,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TERBINAFINE HCL 250 MG TABLET,69097073107,0.17152,0.17393,G,1.41,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VENLAFAXINE HCL ER 37.5 MG CAP,00093738405,0.13352,0.12937,G,-3.11,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXMETHYLPHENIDATE 2.5 MG TAB,10702010601,0.12242,0.11774,G,-3.82,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RIZATRIPTAN 10 MG ODT,69452015774,1.07364,1.01745,G,-5.23,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ACID REDUCER 20 MG TABLET,36800019471,0.14772,0.14977,G,1.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MAGNESIUM OXIDE 400 MG TABLET,58657012012,0.03968,0.03706,G,-6.60,Survey Rate,05/12/2021,05/19/2021,05/19/2021
IRBESARTAN 150 MG TABLET,00955104190,0.23652,0.23531,G,-0.51,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,29300018705,0.36772,0.34055,G,-7.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLONAZEPAM 1 MG TABLET,00093321205,0.03312,0.03260,G,-1.57,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUSPIRONE HCL 15 MG TABLET,00115169219,0.06051,0.05791,G,-4.30,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OMEGA-3 ETHYL ESTERS 1 GM CAP,00093540189,0.18308,0.17985,G,-1.76,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NORTRIPTYLINE HCL 25 MG CAP,51672400202,0.10409,0.11029,G,5.96,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLONIDINE 0.3 MG/DAY PATCH,51862045501,16.26702,16.64153,G,2.30,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NITROFURANTOIN MCR 50 MG CAP,60687047211,0.49094,0.53400,G,8.77,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROXYZINE HCL 25 MG TABLET,00093506105,0.07488,0.07783,G,3.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALLERGY 25 MG TABLET,36800047962,0.03285,0.03551,G,8.10,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PRAVASTATIN SODIUM 20 MG TAB,68462019605,0.06429,0.06338,G,-1.42,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MICONAZOLE 2% VAGINAL CREAM,00472073041,0.12891,0.13766,G,6.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ANTACID PLUS ANTI-GAS SUSP,36800058840,0.00764,0.00839,G,9.82,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROCODONE-ACETAMINOPHEN 5-300 MG TABLET,43386035101,0.35602,0.31921,G,-10.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FOSINOPRIL SODIUM 20 MG TAB,50268032811,0.16186,0.17807,G,10.01,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRI-VYLIBRA 28 TABLET,50102023313,0.18366,0.17414,G,-5.18,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIAMCINOLONE 0.1% CREAM,00168000480,0.05124,0.04924,G,-3.90,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLUOCINOLONE 0.01% SCALP OIL,65162070386,0.53542,0.62026,G,15.85,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CALCITRIOL 0.25 MCG CAPSULE,62756096788,0.19447,0.20303,G,4.40,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIAMCINOLONE 0.025% OINT,00713022915,0.23661,0.21717,G,-8.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
POSACONAZOLE DR 100 MG TABLET,70748025807,35.83421,23.84625,G,-33.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUDESONIDE EC 3 MG CAPSULE,16714082901,0.97569,0.91785,G,-5.93,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROCHLOROTHIAZIDE 50 MG TAB,16729018417,0.03314,0.03189,G,-3.77,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METOPROLOL TARTRATE 50 MG TAB,51079080101,0.02223,0.02354,G,5.89,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HEATHER 0.35 MG TABLET,68462030329,0.22928,0.22327,G,-2.62,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ROPINIROLE HCL 5 MG TABLET,62332003631,0.08621,0.09906,G,14.91,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DIPHENOXYLATE-ATROPINE 2.5-0.025 MG TABLET,60687056911,0.21200,0.21911,G,3.35,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RIFAMPIN 300 MG CAPSULE,60687058601,0.67767,0.78782,G,16.25,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDRALAZINE 50 MG TABLET,00904644261,0.05273,0.05327,G,1.02,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CELECOXIB 200 MG CAPSULE,60687044701,0.16573,0.15384,G,-7.17,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"NYSTATIN 100,000 UNIT/GM POWD",43386053006,0.24690,0.25442,G,3.05,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ESTRADIOL 0.075 MG PATCH(2/WK),00378462226,7.01578,7.57677,G,8.00,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXTROAMP-AMPHETAMIN 30 MG TAB,00555097402,0.39675,0.38305,G,-3.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LORAZEPAM 1 MG TABLET,00904600861,0.03919,0.04082,G,4.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GLYBURIDE 2.5 MG TABLET,00093834305,0.09781,0.09850,G,0.71,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TELMISARTAN 20 MG TABLET,68462019930,0.42950,0.42599,G,-0.82,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DARIFENACIN ER 7.5 MG TABLET,69097043102,2.64180,3.18383,G,20.52,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"NYSTATIN 100,000 UNIT/GM POWD",16714076902,0.29144,0.29499,G,1.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FELODIPINE ER 2.5 MG TABLET,13668013290,0.18597,0.21905,G,17.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYCODONE-ACETAMINOPHEN 10-325 MG TAB,00904643961,0.19362,0.18049,G,-6.78,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CALCIPOTRIENE-BETAMETH DP OINT,00781716535,7.68226,5.93487,G,-22.75,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYCODONE-ACETAMINOPHEN 7.5-325 MG TABLET,47781022901,0.14601,0.15535,G,6.40,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BETAMETHASONE VALER 0.1% OINTM,00168003315,0.96627,0.78572,G,-18.69,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PHENTERMINE 37.5 MG CAPSULE,10702002910,0.09962,0.09505,G,-4.59,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARBIDOPA-LEVODOPA 10-100 TAB,51862007801,0.14763,0.13952,G,-5.49,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEFLUNOMIDE 20 MG TABLET,60505250303,1.05804,1.01276,G,-4.28,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NADOLOL 20 MG TABLET,69238112309,0.40795,0.45423,G,11.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CANDESARTAN CILEXETIL 32 MG TB,60687013095,1.10702,1.16388,G,5.14,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALPRAZOLAM 0.5 MG TABLET,51991070505,0.02433,0.02494,G,2.51,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PROGESTERONE 100 MG CAPSULE,00093535301,0.35055,0.31431,G,-10.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYCODONE HCL 5 MG TABLET,00406055262,0.06800,0.07236,G,6.41,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"METFORMIN ER 1,000 MG OSM-TAB",29033003206,2.39506,2.48310,G,3.68,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ATORVASTATIN 10 MG TABLET,67877051105,0.03756,0.04057,G,8.01,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METFORMIN HCL 850 MG TABLET,49483062110,0.02943,0.02979,G,1.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MESALAMINE DR 1.2 GM TABLET,68382071119,3.12035,3.31611,G,6.27,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PIOGLITAZONE HCL 30 MG TABLET,00093727256,0.15405,0.14850,G,-3.60,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METOPROLOL SUCC ER 25 MG TAB,51079016920,0.10201,0.10497,G,2.90,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PRAMIPEXOLE 0.25 MG TABLET,57237018190,0.05069,0.05128,G,1.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ONDANSETRON HCL 4 MG TABLET,68462010530,0.07710,0.08626,G,11.88,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUPROPION HCL 100 MG TABLET,68001030900,0.18406,0.19765,G,7.38,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MUCINEX COLD-FLU-SORETHROAT LQ,63824001566,0.06122,0.05748,B,-6.11,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUPROPION HCL SR 100 MG TABLET,70436005802,0.14389,0.13265,G,-7.81,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NICOTINE 2 MG CHEWING GUM,36800002925,0.23022,0.21540,G,-6.44,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXAMETHASONE 0.75 MG TABLET,00054418025,0.19336,0.19588,G,1.30,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ESTRADIOL 0.0375 MG PATCH(2/WK),00378464316,7.29863,7.68582,G,5.30,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GS MIGRAINE FORMULA CAPLET,00113037462,0.04882,0.04927,G,0.92,Survey Rate,05/12/2021,05/19/2021,05/19/2021
EZETIMIBE-SIMVASTATIN 10-40 MG,69238115703,0.72561,1.09617,G,51.07,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXTROAMP-AMPHET ER 15 MG CAP,43975027910,0.63932,0.81179,G,26.98,Survey Rate,05/12/2021,05/19/2021,05/19/2021
URSODIOL 500 MG TABLET,70710112801,1.15577,1.10225,G,-4.63,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SM INFANT PAIN-FEVER 160 MG/5,49348008130,0.06418,0.06115,G,-4.72,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SERTRALINE HCL 100 MG TABLET,68180035305,0.06466,0.06708,G,3.74,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DOXYCYCLINE HYCLATE 20 MG TAB,68047071460,0.21658,0.19852,G,-8.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLARITHROMYCIN 250 MG TABLET,50268017811,0.54682,0.69726,G,27.51,Survey Rate,05/12/2021,05/19/2021,05/19/2021
POTASSIUM CITRATE ER 5 MEQ TAB,31722012901,0.48408,0.52191,G,7.81,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ACID REDUCER 20 MG TABLET,24385038571,0.14772,0.14977,G,1.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CELECOXIB 100 MG CAPSULE,75834023705,0.11480,0.11513,G,0.29,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NICOTINE 4 MG LOZENGE,45802087303,0.35975,0.35841,G,-0.37,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MINOCYCLINE 50 MG CAPSULE,68382031601,0.20160,0.21252,G,5.42,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SENNA PLUS TABLET,51645085006,0.02586,0.03007,G,16.28,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DILTIAZEM 30 MG TABLET,42799012901,0.10527,0.10563,G,0.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GS PAIN RELIEF ER 650 MG CPLT,00113054471,0.05931,0.06105,G,2.93,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOSARTAN POTASSIUM 50 MG TAB,63739068610,0.08607,0.08769,G,1.88,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NORTRIPTYLINE HCL 10 MG CAP,51862001505,0.08296,0.08702,G,4.89,Survey Rate,05/12/2021,05/19/2021,05/19/2021
URSODIOL 300 MG CAPSULE,00378173001,0.58243,0.60340,G,3.60,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GLIPIZIDE 5 MG TABLET,00591046001,0.03037,0.03225,G,6.19,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DIPHENHYDRAMINE 50 MG/ML VIAL,63323066416,0.96520,1.27785,G,32.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARISOPRODOL 350 MG TABLET,16714051003,0.06188,0.06811,G,10.07,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PHENOBARBITAL 30 MG TABLET,75826013810,0.22560,0.20992,G,-6.95,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HM SINUS NASAL SPRAY 0.05%,62011007901,0.06009,0.07044,G,17.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ISOSORBIDE DINITRATE 10 MG TAB,00143177110,0.36370,0.33009,G,-9.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ISOSORBIDE DINITRATE 20 MG TAB,68084008311,0.37441,0.39074,G,4.36,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DIVALPROEX DR 125 MG CAP SPRNK,27241011501,0.31914,0.34051,G,6.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GAS RELIEF 125 MG CHEW TABLET,00536122308,0.09906,0.10502,G,6.02,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NADOLOL 20 MG TABLET,68382073201,0.40795,0.45423,G,11.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DONEPEZIL HCL 5 MG TABLET,13668010290,0.05521,0.05285,G,-4.27,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROCODONE-ACETAMINOPHEN 7.5-325 MG TABLET,00406012410,0.12581,0.13113,G,4.23,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PIOGLITAZONE HCL 45 MG TABLET,00093727305,0.17039,0.16734,G,-1.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CEFDINIR 300 MG CAPSULE,68180071160,0.49784,0.48278,G,-3.03,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DOTTI 0.05 MG PATCH,65162099308,7.44692,7.87408,G,5.74,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CHLORTHALIDONE 50 MG TABLET,68382097101,0.28038,0.38902,G,38.75,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LAXATIVE EC 5 MG TABLET,24385090363,0.05122,0.05747,G,12.20,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SPIRONOLACTONE 100 MG TABLET,53746051501,0.21899,0.22632,G,3.35,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIVORA-28 TABLET,51862051001,0.44482,0.46374,G,4.25,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIAMCINOLONE 0.1% LOTION,00713067653,0.39489,0.40305,G,2.07,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MEDROXYPROGESTERONE 10 MG TAB,00555077902,0.16159,0.16412,G,1.57,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BENZOYL PEROXIDE 10% WASH,67405083005,0.04811,0.05108,G,6.17,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALPRAZOLAM 0.25 MG TABLET,59762371903,0.02231,0.02240,G,0.40,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METHYLPHENIDATE 20 MG TABLET,50268052911,0.25284,0.26809,G,6.03,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEVOTHYROXINE 200 MCG TABLET,16729045715,0.39220,0.39095,G,-0.32,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GLYBURIDE 5 MG TABLET,75834020400,0.09913,0.10182,G,2.71,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDRALAZINE 25 MG TABLET,50228018301,0.04134,0.04175,G,0.99,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PREGABALIN 75 MG CAPSULE,62332012190,0.09985,0.09514,G,-4.72,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PREDNISONE 10 MG TABLET,00378064101,0.09242,0.08805,G,-4.73,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DILTIAZEM 24H ER(CD) 180 MG CP,60687020601,0.31343,0.29052,G,-7.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROMORPHONE 2 MG TABLET,00406324301,0.08173,0.07945,G,-2.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VENLAFAXINE HCL ER 150 MG TAB,29033004530,3.33813,3.16294,G,-5.25,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ATORVASTATIN 20 MG TABLET,16714087503,0.05273,0.05859,G,11.11,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXTROAMPHETAMINE 10 MG TAB,43386087101,0.35512,0.46980,G,32.29,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALLERGY RELIEF 180 MG TABLET,69230020201,0.28966,0.30701,G,5.99,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DAPSONE 25 MG TABLET,70954013520,0.75967,0.68637,G,-9.65,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DICLOFENAC SOD DR 75 MG TAB,61442010310,0.10693,0.10519,G,-1.63,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLONIDINE HCL 0.2 MG TABLET,60687012411,0.04036,0.04145,G,2.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXMETHYLPHENIDATE ER 40 MG CP,00781268901,2.10384,2.18992,G,4.09,Survey Rate,05/12/2021,05/19/2021,05/19/2021
AMLODIPINE BESYLATE 10 MG TAB,63739063110,0.01518,0.01623,G,6.92,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TIMOLOL MALEATE 0.5% EYE DROPS,61314022715,1.13019,1.12784,G,-0.21,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HEADACHE 250-250-65 MG TABLET,70000025801,0.04882,0.04927,G,0.92,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOZAPINE 200 MG TABLET,51079074920,1.12893,1.45187,G,28.61,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BETAMETHASONE VA 0.1% CREAM,00168004015,0.94284,0.83170,G,-11.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SOTALOL AF 80 MG TABLET,60505022201,0.09352,0.09367,G,0.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLARITHROMYCIN 500 MG TABLET,50268017913,0.48419,0.49729,G,2.71,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MECLIZINE 12.5 MG TABLET,50268052215,0.13778,0.12568,G,-8.78,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PIOGLITAZONE HCL 30 MG TABLET,16729002115,0.15405,0.14850,G,-3.60,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUPROPION HCL XL 150 MG TABLET,63304072305,0.16105,0.18075,G,12.23,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ARIPIPRAZOLE 30 MG TABLET,16729028310,0.31324,0.30806,G,-1.65,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VENLAFAXINE HCL ER 150 MG CAP,31722000430,0.19021,0.18488,G,-2.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ROSUVASTATIN CALCIUM 5 MG TAB,31722088290,0.09230,0.08757,G,-5.12,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GABAPENTIN 400 MG CAPSULE,70010011801,0.06572,0.07428,G,13.02,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SPIRONOLACTONE 100 MG TABLET,53489032907,0.21899,0.22632,G,3.35,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARVEDILOL 12.5 MG TABLET,00378363305,0.02666,0.02752,G,3.23,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ZOLPIDEM TARTRATE 10 MG TABLET,13668000810,0.03293,0.03419,G,3.83,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OMEPRAZOLE DR 20 MG CAPSULE,50268061911,0.04013,0.03951,G,-1.54,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PIOGLITAZONE HCL 45 MG TABLET,72606057203,0.17039,0.16734,G,-1.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METFORMIN HCL 500 MG TABLET,68382075810,0.01684,0.01721,G,2.20,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METOPROLOL SUCC ER 100 MG TAB,68382056610,0.18071,0.17709,G,-2.00,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RAMIPRIL 10 MG CAPSULE,68180059102,0.07113,0.07317,G,2.87,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TORSEMIDE 10 MG TABLET,65862012601,0.07772,0.08404,G,8.13,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ARIPIPRAZOLE 15 MG TABLET,50268009012,0.18567,0.18421,G,-0.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOSARTAN POTASSIUM 50 MG TAB,33342004544,0.08607,0.08769,G,1.88,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDRALAZINE 50 MG TABLET,62584073411,0.05273,0.05327,G,1.02,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TIZANIDINE HCL 6 MG CAPSULE,62332049341,0.25436,0.33449,G,31.50,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROCODONE-ACETAMINOPHEN 10-325 MG TABLET,00406012523,0.12650,0.13535,G,7.00,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOBAZAM 10 MG TABLET,67877066501,0.40535,0.39847,G,-1.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GABAPENTIN 100 MG CAPSULE,68084078301,0.03001,0.03142,G,4.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FINASTERIDE 5 MG TABLET,76282041230,0.07746,0.07962,G,2.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOVASTATIN 40 MG TABLET,68180046907,0.06881,0.06735,G,-2.12,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUSPIRONE HCL 5 MG TABLET,00115169001,0.02823,0.02902,G,2.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RISPERIDONE 3 MG TABLET,68084027411,0.07091,0.07152,G,0.86,Survey Rate,05/12/2021,05/19/2021,05/19/2021
QUETIAPINE FUMARATE 25 MG TAB,50268063011,0.03397,0.03331,G,-1.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ACYCLOVIR 5% OINTMENT,72578008206,1.64706,0.89720,G,-45.53,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VALSARTAN-HYDROCHLOROTHIAZIDE 320-12.5 MG TAB,00378632477,0.63090,0.56689,G,-10.15,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALBUTEROL SULFATE 2 MG TAB,70710106101,0.86844,0.85312,G,-1.76,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SERTRALINE HCL 100 MG TABLET,00904692661,0.06466,0.06708,G,3.74,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TOPIRAMATE 100 MG TABLET,68382014014,0.06667,0.07026,G,5.38,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ABACAVIR-LAMIVUDINE 600-300 MG,69097036202,2.48333,2.83807,G,14.28,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYCODONE HCL 15 MG TABLET,57664018788,0.11968,0.12088,G,1.00,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METOPROLOL TARTRATE 100 MG TAB,62332011431,0.03444,0.03590,G,4.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RIVASTIGMINE 4.6 MG/24HR PATCH,70710119607,2.72818,3.88477,G,42.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VALPROIC ACID 250 MG CAPSULE,63739025340,0.22412,0.21609,G,-3.58,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXTROAMP-AMPHETAMIN 30 MG TAB,47781018001,0.39675,0.38305,G,-3.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GLIMEPIRIDE 2 MG TABLET,16729000216,0.06028,0.06032,G,0.07,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FENTANYL 37.5 MCG/HR PATCH,60505708502,43.73356,41.36489,G,-5.42,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXTROAMP-AMPHET ER 10 MG CAP,42858061001,0.69738,0.68959,G,-1.12,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PALIPERIDONE ER 3 MG TABLET,65162028103,4.78716,6.68089,G,39.56,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOPERAMIDE 2 MG CAPSULE,51079069020,0.30058,0.30525,G,1.55,Survey Rate,05/12/2021,05/19/2021,05/19/2021
URO-MP CAPSULE,58657045601,1.68457,1.82070,G,8.08,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ADAPALENE 0.3% GEL,51672137706,1.20531,1.41428,G,17.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VENLAFAXINE HCL 100 MG TABLET,57664039688,0.14358,0.15947,G,11.07,Survey Rate,05/12/2021,05/19/2021,05/19/2021
QUETIAPINE ER 50 MG TABLET,65862087360,0.28555,0.27038,G,-5.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"METFORMIN ER 1,000 MG GASTR-TB",70010049709,7.05718,6.90675,G,-2.13,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SUCRALFATE 1 GM TABLET,29033000305,0.20703,0.20352,G,-1.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GABAPENTIN 100 MG CAPSULE,60505011207,0.03001,0.03142,G,4.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
